stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
59,0.5,20.0,68.85301530000288,,68.83718689996749,68.85301530000288,69.33838729996933,69.33838729996933,69.35309889999917,69.65326130000176,69.63741869997466,left,-20.0,1,1,0.2855159000027925,514307,001,2025-09-04_10h24.36.434,adaptive_staircase,,2025.1.1,59.72556102934177,2025-09-04 10h24.37.917184 +0530,
60,0.5,20.0,69.65326130000176,,69.6376089999685,69.65326130000176,70.13678659999277,70.13678659999277,70.15335869998671,,70.38699939998332,right,20.0,0,0,0.2332021999754943,514307,001,2025-09-04_10h24.36.434,adaptive_staircase,,2025.1.1,59.72556102934177,2025-09-04 10h24.37.917184 +0530,
61,0.5,20.0,70.40320999996038,,70.38717479998013,70.40320999996038,70.88688710000133,70.88688710000133,70.90325999999186,,70.93735619995277,left,-20.0,0,0,0.03534069994930178,514307,001,2025-09-04_10h24.36.434,adaptive_staircase,,2025.1.1,59.72556102934177,2025-09-04 10h24.37.917184 +0530,
62,0.5,20.0,70.95318729995051,,70.93755339999916,70.95318729995051,71.43754349998198,71.43754349998198,71.45360199996503,71.7364447999862,71.73678919998929,left,-20.0,0,0,0.2971084999735467,514307,001,2025-09-04_10h24.36.434,adaptive_staircase,,2025.1.1,59.72556102934177,2025-09-04 10h24.37.917184 +0530,
63,0.5,20.0,71.75348640000448,,71.73692709999159,71.75348640000448,72.23675039998489,72.23675039998489,72.25395199999912,72.5379659999744,72.6207014999818,right,20.0,1,1,0.3739470000145957,514307,001,2025-09-04_10h24.36.434,adaptive_staircase,,2025.1.1,59.72556102934177,2025-09-04 10h24.37.917184 +0530,
64,0.5,20.0,72.63673059997382,,72.62086989998352,72.63673059997382,73.1365836999612,73.1365836999612,73.1365836999612,73.43670609995024,73.58679329999723,right,20.0,1,1,0.43524710001656786,514307,001,2025-09-04_10h24.36.434,adaptive_staircase,,2025.1.1,59.72556102934177,2025-09-04 10h24.37.917184 +0530,
65,0.5,20.0,73.60337999998592,,73.58708319999278,73.60337999998592,74.08646629995201,74.08646629995201,74.10286789998645,74.3866987999645,74.60435489995871,left,-20.0,0,0,0.5021323999972083,514307,001,2025-09-04_10h24.36.434,adaptive_staircase,,2025.1.1,59.72556102934177,2025-09-04 10h24.37.917184 +0530,
66,0.5,20.0,74.62004949996481,,74.60459129995434,74.62004949996481,75.1034343999927,75.1034343999927,75.11990989994956,,75.2207995999488,right,20.0,1,1,0.11199529998702928,514307,001,2025-09-04_10h24.36.434,adaptive_staircase,,2025.1.1,59.72556102934177,2025-09-04 10h24.37.917184 +0530,
67,0.5,20.0,75.23682339995867,,75.22108269995078,75.23682339995867,75.73651089996565,75.73651089996565,75.73651089996565,76.03594989998965,76.18658859998686,right,20.0,1,1,0.4439958999864757,514307,001,2025-09-04_10h24.36.434,adaptive_staircase,,2025.1.1,59.72556102934177,2025-09-04 10h24.37.917184 +0530,
68,0.5,20.0,76.20310029998654,,76.18677450000541,76.20310029998654,76.6861020999495,76.6861020999495,76.70290400000522,,76.7699544999632,left,-20.0,0,0,0.06814170000143349,514307,001,2025-09-04_10h24.36.434,adaptive_staircase,,2025.1.1,59.72556102934177,2025-09-04 10h24.37.917184 +0530,
